epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,2.00000000e-04,1.770687,0.581672,1.571455,0.738092,36.60
2,1.99965904e-04,1.605178,0.651833,1.479169,0.695618,31.98
3,1.99863639e-04,1.483358,0.696997,1.394107,0.730923,39.55
4,1.99693275e-04,1.390318,0.728975,1.325209,0.733551,37.19
5,1.99454929e-04,1.282647,0.769728,1.348524,0.758737,33.46
6,1.99148764e-04,1.222819,0.777071,1.218988,0.745983,37.09
7,1.98774990e-04,1.173628,0.766393,1.195264,0.810870,37.07
8,1.98333863e-04,1.090845,0.803760,1.130764,0.818984,31.70
9,1.97825686e-04,1.054889,0.802947,1.131579,0.812817,34.04
10,1.97250807e-04,0.992301,0.822331,1.115212,0.807111,33.50
11,1.96609620e-04,0.957556,0.813762,1.087448,0.824468,34.30
12,1.95902564e-04,0.935241,0.825121,1.043868,0.830423,31.21
13,1.95130123e-04,0.870844,0.846894,1.127575,0.783701,31.39
14,1.94292828e-04,0.881099,0.818163,1.026004,0.833312,34.71
15,1.93391252e-04,0.827264,0.853837,1.056360,0.814474,39.46
16,1.92426013e-04,0.808242,0.842890,1.006577,0.841833,30.38
17,1.91397773e-04,0.829105,0.837718,1.077293,0.820401,42.66
18,1.90307236e-04,0.749635,0.861683,0.928617,0.857543,37.14
19,1.89155149e-04,0.769833,0.855490,1.024097,0.835692,38.15
20,1.87942303e-04,0.768425,0.843597,0.930785,0.859242,32.48
21,1.86669528e-04,0.742894,0.856548,1.073329,0.817994,36.31
22,1.85337696e-04,0.712926,0.860113,1.055643,0.817432,36.10
23,1.83947722e-04,0.685857,0.877222,0.918746,0.856512,36.97
24,1.82500556e-04,0.672747,0.871817,0.935576,0.843313,35.00
25,1.80997191e-04,0.688756,0.864158,0.946954,0.850872,33.66
26,1.79438657e-04,0.629664,0.882313,1.006459,0.833434,33.12
27,1.77826023e-04,0.659716,0.874028,0.967443,0.823833,32.70
28,1.76160394e-04,0.685577,0.867617,1.090417,0.825816,34.02
29,1.74442910e-04,0.658395,0.871311,0.954132,0.843639,32.87
30,1.72674750e-04,0.598476,0.885588,0.831819,0.848869,40.90
31,1.70857125e-04,0.647475,0.874714,0.863315,0.850162,38.11
32,1.68991280e-04,0.623507,0.876131,0.995258,0.817156,35.03
33,1.67078495e-04,0.599603,0.885560,0.991222,0.828911,33.99
34,1.65120081e-04,0.607898,0.884965,0.936978,0.860533,37.08
35,1.63117379e-04,0.574159,0.895023,0.905052,0.851441,40.22
36,1.61071762e-04,0.594912,0.885214,0.893731,0.834204,35.07
37,1.58984633e-04,0.567784,0.898457,0.905058,0.851933,34.73
38,1.56857421e-04,0.581003,0.891442,0.885110,0.861561,35.97
39,1.54691584e-04,0.584339,0.888432,0.892492,0.850877,32.91
40,1.52488607e-04,0.547663,0.902913,0.902126,0.851583,32.83
41,1.50250000e-04,0.542237,0.904713,0.815691,0.862285,33.68
42,1.47977297e-04,0.557754,0.895663,0.933417,0.852933,32.48
43,1.45672055e-04,0.557906,0.896980,0.892554,0.854874,34.37
44,1.43335854e-04,0.571706,0.890152,0.863826,0.876553,31.07
45,1.40970296e-04,0.535554,0.904382,0.850257,0.860243,36.70
46,1.38577002e-04,0.520763,0.907561,0.946256,0.843867,35.76
47,1.36157611e-04,0.508073,0.916812,0.950060,0.846791,29.45
48,1.33713782e-04,0.545672,0.903786,0.821646,0.852824,42.07
49,1.31247191e-04,0.544399,0.900502,0.985748,0.874933,31.46
