epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,2.00000000e-04,1.617739,0.626789,1.561338,0.727128,37.73
2,1.99965904e-04,1.450039,0.678037,1.438172,0.665563,38.08
3,1.99863639e-04,1.333347,0.706298,1.337207,0.768593,35.06
4,1.99693275e-04,1.243910,0.742195,1.259282,0.699413,36.13
5,1.99454929e-04,1.183694,0.762814,1.199769,0.761842,32.74
6,1.99148764e-04,1.118456,0.774278,1.148151,0.789986,35.07
7,1.98774990e-04,1.075536,0.772906,1.122157,0.765384,34.34
8,1.98333863e-04,1.017669,0.794622,1.093168,0.779771,40.91
9,1.97825686e-04,0.989971,0.803687,1.048627,0.778141,35.79
10,1.97250807e-04,0.965844,0.806453,0.985336,0.811226,32.66
11,1.96609620e-04,0.921031,0.823139,0.963588,0.830300,32.53
12,1.95902564e-04,0.913998,0.812723,0.998139,0.815780,33.51
13,1.95130123e-04,0.900688,0.816147,0.895878,0.824920,40.73
14,1.94292828e-04,0.872466,0.824466,0.915927,0.839271,37.62
15,1.93391252e-04,0.840129,0.836465,0.844068,0.857880,34.72
16,1.92426013e-04,0.808432,0.827432,0.878801,0.854607,33.75
17,1.91397773e-04,0.798305,0.852932,0.905545,0.842187,34.70
18,1.90307236e-04,0.782631,0.844645,0.815277,0.851228,40.83
19,1.89155149e-04,0.781720,0.841331,0.901345,0.826546,37.84
20,1.87942303e-04,0.765325,0.849252,0.798552,0.852273,34.21
21,1.86669528e-04,0.758869,0.847616,0.801353,0.864550,39.00
22,1.85337696e-04,0.759939,0.852864,0.766702,0.861389,35.85
23,1.83947722e-04,0.705637,0.866019,0.825571,0.835922,35.07
24,1.82500556e-04,0.718360,0.852528,0.787683,0.848691,35.98
25,1.80997191e-04,0.673564,0.871781,0.785775,0.859403,33.37
26,1.79438657e-04,0.701174,0.864801,0.722087,0.883537,33.64
27,1.77826023e-04,0.676101,0.869738,0.741997,0.865918,35.58
