epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,1.00000000e-04,1.421101,0.651802,0.971183,0.788827,16.95
2,9.99904584e-05,0.975407,0.764150,0.816960,0.776276,16.35
3,9.99618373e-05,0.802744,0.811268,0.593830,0.861710,16.08
4,9.99141477e-05,0.631150,0.862952,0.659446,0.840593,21.51
5,9.98474080e-05,0.615546,0.872920,0.551733,0.873817,16.81
6,9.97616440e-05,0.498480,0.909460,0.566404,0.872121,18.60
7,9.96568886e-05,0.468032,0.912070,0.582379,0.876337,18.12
8,9.95331824e-05,0.472167,0.917927,0.552498,0.880077,13.70
9,9.93905729e-05,0.446046,0.921001,0.549348,0.883586,15.74
10,9.92291151e-05,0.400520,0.932254,0.555769,0.886728,14.66
11,9.90488714e-05,0.398045,0.933778,0.568765,0.885439,15.02
12,9.88499111e-05,0.416865,0.934813,0.551252,0.884635,17.38
13,9.86323111e-05,0.389936,0.937284,0.591809,0.879086,15.07
14,9.83961551e-05,0.363984,0.944080,0.587628,0.880053,17.89
15,9.81415342e-05,0.378100,0.942581,0.582766,0.882511,16.36
16,9.78685466e-05,0.348990,0.946145,0.571255,0.875363,12.05
17,9.75772976e-05,0.353915,0.947651,0.628176,0.857924,16.54
18,9.72678993e-05,0.349423,0.943896,0.601055,0.874738,17.50
19,9.69404711e-05,0.349669,0.945725,0.620576,0.868310,13.41
20,9.65951393e-05,0.344220,0.946891,0.605412,0.873486,19.60
21,9.62320369e-05,0.337078,0.949755,0.566553,0.885037,17.93
22,9.58513039e-05,0.323354,0.953478,0.601944,0.879209,15.81
23,9.54530871e-05,0.317294,0.953112,0.557375,0.886371,15.21
24,9.50375401e-05,0.300037,0.958607,0.540429,0.892106,14.65
25,9.46048229e-05,0.308060,0.957054,0.560333,0.889943,15.70
26,9.41551026e-05,0.307943,0.956991,0.542841,0.895036,13.22
27,9.36885524e-05,0.310531,0.956684,0.573739,0.883958,14.73
28,9.32053521e-05,0.305198,0.957642,0.546935,0.895738,15.52
29,9.27056881e-05,0.311745,0.954804,0.572078,0.890274,12.51
30,9.21897531e-05,0.288296,0.961400,0.525569,0.895275,14.70
31,9.16577458e-05,0.281479,0.962423,0.576609,0.888471,16.49
32,9.11098715e-05,0.290478,0.959850,0.549837,0.890096,15.65
33,9.05463412e-05,0.288170,0.962085,0.576046,0.888309,13.71
34,8.99673724e-05,0.290952,0.958605,0.527329,0.896892,15.53
35,8.93731881e-05,0.278428,0.963778,0.556617,0.897121,12.67
36,8.87640174e-05,0.274388,0.964509,0.572058,0.888938,15.40
37,8.81400953e-05,0.274886,0.963523,0.595045,0.880428,14.26
38,8.75016622e-05,0.272177,0.963198,0.704389,0.861469,15.47
39,8.68489642e-05,0.271101,0.964472,0.594007,0.887246,15.37
40,8.61822530e-05,0.258553,0.966758,0.661894,0.866257,16.13
41,8.55017857e-05,0.264353,0.965597,0.593033,0.873332,15.18
42,8.48078244e-05,0.256831,0.967518,0.573558,0.895981,16.10
43,8.41006369e-05,0.254245,0.967181,0.637222,0.868331,18.75
44,8.33804957e-05,0.249642,0.968732,0.584781,0.885005,16.13
45,8.26476784e-05,0.247697,0.968124,0.596114,0.879224,15.33
46,8.19024676e-05,0.258269,0.965978,0.590215,0.875847,15.60
47,8.11451505e-05,0.246942,0.969246,0.565655,0.887217,19.92
48,8.03760191e-05,0.255512,0.967243,0.601166,0.875522,12.93
49,7.95953700e-05,0.250433,0.967860,0.611472,0.884042,14.49
50,7.88035040e-05,0.253024,0.967486,0.643237,0.879484,14.57
51,7.80007265e-05,0.246991,0.968485,0.560443,0.891891,19.28
52,7.71873470e-05,0.235545,0.970478,0.587586,0.878423,15.55
53,7.63636790e-05,0.241925,0.970224,0.571834,0.891324,16.50
54,7.55300400e-05,0.226664,0.972752,0.614993,0.885463,15.24
55,7.46867515e-05,0.231607,0.971463,0.609672,0.881417,16.63
56,7.38341385e-05,0.233328,0.971681,0.652454,0.877828,14.71
57,7.29725297e-05,0.232788,0.972187,0.654814,0.872072,15.35
58,7.21022574e-05,0.236941,0.971456,0.618772,0.883874,16.36
59,7.12236570e-05,0.235166,0.970505,0.596822,0.885783,13.64
60,7.03370672e-05,0.244047,0.968293,0.628470,0.873439,19.20
61,6.94428299e-05,0.234371,0.971363,0.579694,0.894583,13.64
62,6.85412897e-05,0.233092,0.971664,0.589168,0.891037,15.77
63,6.76327943e-05,0.249044,0.967125,0.589182,0.885039,16.44
64,6.67176939e-05,0.238979,0.969841,0.602265,0.878689,18.49
65,6.57963412e-05,0.226954,0.972406,0.560872,0.898631,18.26
66,6.48690915e-05,0.227064,0.972350,0.558616,0.893859,15.18
67,6.39363023e-05,0.229969,0.971873,0.563193,0.894619,16.94
68,6.29983331e-05,0.222825,0.973664,0.611764,0.879113,14.30
69,6.20555455e-05,0.217311,0.973866,0.582629,0.890400,14.75
70,6.11083031e-05,0.219067,0.973957,0.603041,0.880455,15.05
71,6.01569709e-05,0.216818,0.973817,0.646620,0.874729,14.86
72,5.92019159e-05,0.207964,0.975595,0.622330,0.880063,13.84
73,5.82435060e-05,0.213017,0.974207,0.591628,0.895976,15.97
74,5.72821109e-05,0.209095,0.975528,0.587650,0.891953,14.96
75,5.63181012e-05,0.203250,0.975241,0.603394,0.881561,16.04
76,5.53518484e-05,0.212590,0.975109,0.607208,0.885508,18.20
77,5.43837252e-05,0.201677,0.975966,0.637904,0.877057,13.98
78,5.34141048e-05,0.212549,0.974574,0.580406,0.893846,17.58
79,5.24433609e-05,0.210726,0.974210,0.647636,0.878801,15.01
80,5.14718678e-05,0.209155,0.975678,0.608574,0.880555,15.05
81,5.05000000e-05,0.206088,0.975426,0.657437,0.877004,21.86
82,4.95281322e-05,0.199776,0.976685,0.619445,0.888718,16.69
83,4.85566391e-05,0.196905,0.977077,0.591104,0.893978,15.53
84,4.75858952e-05,0.199399,0.976789,0.655761,0.875414,14.09
85,4.66162748e-05,0.200441,0.976901,0.614896,0.891458,22.55
86,4.56481516e-05,0.198665,0.976741,0.638579,0.883414,20.14
87,4.46818988e-05,0.195500,0.977145,0.607209,0.885557,15.44
88,4.37178891e-05,0.199277,0.976545,0.603376,0.887513,15.11
89,4.27564940e-05,0.202710,0.976395,0.624791,0.890668,16.20
90,4.17980841e-05,0.190002,0.977910,0.620002,0.889078,14.46
91,4.08430291e-05,0.190828,0.978180,0.638136,0.877738,18.72
92,3.98916969e-05,0.195066,0.978068,0.639316,0.879934,15.46
93,3.89444545e-05,0.185160,0.979357,0.600709,0.893705,15.64
94,3.80016669e-05,0.191936,0.976931,0.628235,0.880130,15.58
95,3.70636977e-05,0.194199,0.977246,0.615785,0.884631,15.54
96,3.61309085e-05,0.192980,0.977660,0.605343,0.887617,16.09
97,3.52036588e-05,0.180900,0.979599,0.623446,0.885680,14.76
98,3.42823061e-05,0.191601,0.977378,0.613507,0.895799,16.81
99,3.33672057e-05,0.188205,0.978197,0.587477,0.897808,13.90
100,3.24587103e-05,0.183527,0.978872,0.616997,0.886760,15.89
101,3.15571701e-05,0.176845,0.979991,0.630397,0.880865,16.40
102,3.06629328e-05,0.179081,0.979465,0.593667,0.894926,13.50
103,2.97763430e-05,0.176786,0.980174,0.605511,0.895595,13.82
104,2.88977426e-05,0.178659,0.979446,0.609049,0.889114,16.57
105,2.80274703e-05,0.182429,0.978715,0.634336,0.881156,18.24
106,2.71658615e-05,0.176566,0.979777,0.585474,0.896675,14.29
107,2.63132485e-05,0.173180,0.980289,0.605671,0.887478,17.02
108,2.54699600e-05,0.176917,0.979473,0.599168,0.893542,15.36
109,2.46363210e-05,0.179275,0.979372,0.588638,0.898963,18.28
110,2.38126530e-05,0.177978,0.979530,0.600106,0.897120,14.75
111,2.29992735e-05,0.179681,0.979691,0.591100,0.897328,18.13
112,2.21964960e-05,0.174571,0.980332,0.614316,0.889461,16.54
113,2.14046300e-05,0.175421,0.979895,0.595873,0.896768,17.56
114,2.06239809e-05,0.167914,0.981096,0.619419,0.889445,17.01
115,1.98548495e-05,0.171180,0.980581,0.594332,0.897774,21.55
116,1.90975324e-05,0.168867,0.980644,0.639817,0.877886,13.35
117,1.83523216e-05,0.169229,0.980777,0.623565,0.887757,16.74
118,1.76195043e-05,0.166597,0.981154,0.606127,0.895736,14.99
119,1.68993631e-05,0.163272,0.981743,0.613548,0.890393,16.09
120,1.61921756e-05,0.167332,0.981245,0.633841,0.884598,16.71
121,1.54982143e-05,0.169612,0.980895,0.622566,0.891624,20.40
122,1.48177470e-05,0.170027,0.980497,0.621091,0.891547,16.22
123,1.41510358e-05,0.167000,0.981771,0.635185,0.884212,13.53
124,1.34983378e-05,0.170916,0.980656,0.634047,0.884766,17.49
125,1.28599047e-05,0.160742,0.982275,0.614743,0.892648,15.22
126,1.22359826e-05,0.167668,0.981273,0.621309,0.890882,15.53
127,1.16268119e-05,0.163309,0.981425,0.600502,0.896790,16.49
128,1.10326276e-05,0.161073,0.982040,0.608837,0.894421,16.71
129,1.04536588e-05,0.163865,0.982017,0.610191,0.894981,14.04
130,9.89012855e-06,0.161673,0.981696,0.608695,0.891866,15.79
131,9.34225419e-06,0.167552,0.981382,0.612504,0.892682,13.86
132,8.81024693e-06,0.162011,0.982388,0.606358,0.893592,17.34
133,8.29431186e-06,0.162063,0.981990,0.619927,0.888548,15.94
134,7.79464789e-06,0.162095,0.982048,0.614876,0.893676,14.93
135,7.31144765e-06,0.161437,0.981965,0.615408,0.892132,16.09
136,6.84489741e-06,0.160255,0.982496,0.609111,0.894527,15.51
