epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
91,4.08430291e-05,0.207032,0.975083,0.555389,0.884203,14.86
92,3.98916969e-05,0.200767,0.976151,0.697752,0.875621,17.15
93,3.89444545e-05,0.194609,0.977458,0.634478,0.881241,15.95
94,3.80016669e-05,0.198292,0.977317,0.733253,0.871234,15.71
95,3.70636977e-05,0.197960,0.977457,0.654889,0.882627,14.75
96,3.61309085e-05,0.191386,0.978163,0.601233,0.887848,18.10
97,3.52036588e-05,0.194592,0.977852,0.627875,0.885680,15.49
98,3.42823061e-05,0.198758,0.977099,0.609425,0.896863,16.67
99,3.33672057e-05,0.196640,0.977242,0.686242,0.872740,15.97
100,3.24587103e-05,0.187189,0.978788,0.661769,0.881544,19.32
101,3.15571701e-05,0.189410,0.978408,0.689121,0.878735,15.02
102,3.06629328e-05,0.188376,0.978943,0.597739,0.888836,18.12
103,2.97763430e-05,0.193244,0.977837,0.622149,0.883050,17.87
104,2.88977426e-05,0.187224,0.978843,0.601381,0.891347,15.25
105,2.80274703e-05,0.186406,0.978694,0.828003,0.860308,14.28
106,2.71658615e-05,0.185741,0.978895,0.640854,0.880658,14.63
107,2.63132485e-05,0.184253,0.978885,0.637186,0.882382,13.18
108,2.54699600e-05,0.184544,0.978987,0.670921,0.875816,18.15
109,2.46363210e-05,0.180084,0.979606,0.671024,0.878073,15.25
110,2.38126530e-05,0.180279,0.979917,0.752684,0.868990,15.94
111,2.29992735e-05,0.176257,0.980271,0.724998,0.870807,14.02
112,2.21964960e-05,0.183214,0.978973,0.651461,0.883372,16.37
113,2.14046300e-05,0.180700,0.980026,0.677183,0.878183,14.92
114,2.06239809e-05,0.176435,0.980395,0.703552,0.877767,19.78
115,1.98548495e-05,0.176108,0.979917,0.723030,0.875752,15.00
116,1.90975324e-05,0.176891,0.980499,0.692027,0.876344,16.38
117,1.83523216e-05,0.175522,0.980535,0.697972,0.875346,14.33
118,1.76195043e-05,0.174276,0.980174,0.690146,0.878138,20.35
119,1.68993631e-05,0.171857,0.980621,0.678406,0.881295,15.20
120,1.61921756e-05,0.167985,0.980922,0.750145,0.871904,22.14
121,1.54982143e-05,0.181151,0.979571,0.705548,0.876130,14.77
122,1.48177470e-05,0.171347,0.980521,0.692760,0.881835,18.76
123,1.41510358e-05,0.180044,0.979888,0.676166,0.884688,21.08
124,1.34983378e-05,0.170951,0.981164,0.704222,0.876420,14.42
125,1.28599047e-05,0.170768,0.980418,0.697287,0.878511,17.71
126,1.22359826e-05,0.174798,0.980051,0.670720,0.881000,16.46
127,1.16268119e-05,0.168194,0.981317,0.703265,0.875407,18.04
128,1.10326276e-05,0.172150,0.981362,0.727138,0.873740,15.52
129,1.04536588e-05,0.174458,0.980656,0.638632,0.883067,13.54
130,9.89012855e-06,0.165317,0.981651,0.684783,0.879342,20.63
131,9.34225419e-06,0.168111,0.981198,0.663675,0.883533,14.09
132,8.81024693e-06,0.162830,0.982011,0.687888,0.878431,16.40
133,8.29431186e-06,0.165916,0.981750,0.730087,0.874407,19.33
134,7.79464789e-06,0.165288,0.981308,0.692158,0.877743,15.93
135,7.31144765e-06,0.166952,0.981853,0.673811,0.881155,19.36
136,6.84489741e-06,0.159794,0.982310,0.698071,0.879415,15.19
137,6.39517705e-06,0.167620,0.981378,0.714107,0.877367,19.47
138,5.96245994e-06,0.166054,0.981633,0.715786,0.876577,16.23
139,5.54691290e-06,0.164426,0.981803,0.698597,0.879187,16.39
140,5.14869612e-06,0.169119,0.981079,0.696038,0.877771,17.83
141,4.76796314e-06,0.167347,0.981157,0.676885,0.881387,19.64
142,4.40486073e-06,0.165481,0.981575,0.693326,0.878281,20.37
143,4.05952887e-06,0.158868,0.982367,0.693664,0.878580,15.55
144,3.73210070e-06,0.167101,0.981046,0.697058,0.876050,17.70
145,3.42270244e-06,0.163423,0.981842,0.722454,0.873641,15.56
146,3.13145338e-06,0.163528,0.981834,0.709316,0.875898,14.95
147,2.85846580e-06,0.160988,0.982283,0.688618,0.878625,15.50
148,2.60384493e-06,0.163782,0.981917,0.717009,0.875311,13.73
149,2.36768894e-06,0.161789,0.981522,0.666769,0.881507,12.88
150,2.15008887e-06,0.164129,0.981961,0.688237,0.878477,15.24
151,1.95112862e-06,0.160901,0.982199,0.694668,0.877830,21.31
152,1.77088488e-06,0.163262,0.982080,0.697720,0.877182,15.63
153,1.60942714e-06,0.161747,0.982327,0.681682,0.879045,19.43
154,1.46681765e-06,0.168879,0.981294,0.675829,0.880609,16.67
155,1.34311138e-06,0.162804,0.981737,0.690687,0.877100,17.93
156,1.23835603e-06,0.154184,0.982962,0.692514,0.878284,15.53
157,1.15259198e-06,0.161460,0.982012,0.704979,0.876317,17.98
158,1.08585230e-06,0.161454,0.981931,0.703209,0.876997,16.52
159,1.03816271e-06,0.168670,0.980932,0.710861,0.875072,16.69
160,1.00954160e-06,0.162682,0.982018,0.680566,0.879049,17.55
