epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,1.00000000e-04,1.483503,0.629994,0.994773,0.774697,17.53
2,9.99904584e-05,0.894570,0.798319,0.794209,0.812580,16.75
3,9.99618373e-05,0.731262,0.836258,0.740395,0.752365,14.26
4,9.99141477e-05,0.641722,0.869064,0.650672,0.836060,13.68
5,9.98474080e-05,0.551946,0.888150,0.586408,0.849647,17.60
6,9.97616440e-05,0.509541,0.907887,0.605506,0.853144,16.39
7,9.96568886e-05,0.507365,0.904229,0.791688,0.805744,15.10
8,9.95331824e-05,0.502097,0.904633,0.525362,0.874843,14.46
9,9.93905729e-05,0.455260,0.921779,0.518568,0.887168,21.34
10,9.92291151e-05,0.419225,0.932657,0.570697,0.867167,14.23
11,9.90488714e-05,0.389253,0.939028,0.579510,0.866260,15.63
12,9.88499111e-05,0.384572,0.939751,0.574629,0.867313,17.72
13,9.86323111e-05,0.397096,0.934794,0.512659,0.883131,16.47
14,9.83961551e-05,0.389505,0.939188,0.541237,0.881930,17.26
15,9.81415342e-05,0.363297,0.944167,0.608687,0.864129,19.94
16,9.78685466e-05,0.373975,0.941731,0.478328,0.903371,15.72
17,9.75772976e-05,0.358635,0.944439,0.648655,0.862479,15.41
18,9.72678993e-05,0.344321,0.949671,0.527512,0.878550,14.27
19,9.69404711e-05,0.331793,0.952767,0.567503,0.864343,13.76
20,9.65951393e-05,0.326469,0.954670,0.535229,0.881252,17.93
21,9.62320369e-05,0.329905,0.953817,0.594096,0.866602,13.39
22,9.58513039e-05,0.339486,0.950638,0.600951,0.876529,20.17
23,9.54530871e-05,0.334596,0.950537,0.519397,0.892045,14.93
24,9.50375401e-05,0.320785,0.955048,0.564586,0.890579,17.80
25,9.46048229e-05,0.319534,0.954454,0.557473,0.865182,16.17
26,9.41551026e-05,0.309727,0.957263,0.530563,0.885894,14.18
27,9.36885524e-05,0.306777,0.957375,0.528868,0.879296,18.49
28,9.32053521e-05,0.305191,0.957659,0.526651,0.887807,15.35
29,9.27056881e-05,0.299178,0.958972,0.574689,0.876473,18.98
30,9.21897531e-05,0.290384,0.961609,0.612743,0.869906,16.00
31,9.16577458e-05,0.296864,0.959168,0.510058,0.891906,18.04
32,9.11098715e-05,0.309505,0.956438,0.611455,0.876160,18.04
