epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,2.00000000e-04,1.649358,0.592287,1.447145,0.638957,39.31
2,1.99965904e-04,1.475955,0.680305,1.337230,0.694655,36.37
3,1.99863639e-04,1.398014,0.698522,1.244786,0.711709,33.36
4,1.99693275e-04,1.291842,0.741513,1.178017,0.715196,34.47
5,1.99454929e-04,1.231917,0.755328,1.109525,0.786609,36.29
6,1.99148764e-04,1.156199,0.782804,1.045557,0.788880,34.52
7,1.98774990e-04,1.111718,0.783856,1.017385,0.807023,36.11
8,1.98333863e-04,1.053507,0.810028,0.997216,0.784675,38.76
9,1.97825686e-04,1.010318,0.821145,0.906904,0.820994,33.48
10,1.97250807e-04,1.017604,0.808599,0.885444,0.815942,41.11
11,1.96609620e-04,0.957403,0.828941,0.898365,0.810688,32.18
12,1.95902564e-04,0.945235,0.814139,0.871951,0.808399,38.86
13,1.95130123e-04,0.898787,0.830643,0.855108,0.819840,37.10
14,1.94292828e-04,0.873794,0.846885,0.811870,0.844537,35.91
15,1.93391252e-04,0.846601,0.836073,0.818092,0.827056,36.84
16,1.92426013e-04,0.787296,0.861435,0.800488,0.827011,34.45
17,1.91397773e-04,0.813353,0.847895,0.777075,0.833837,36.87
18,1.90307236e-04,0.815501,0.848282,0.814611,0.814271,39.21
19,1.89155149e-04,0.748799,0.859845,0.773396,0.827972,39.65
20,1.87942303e-04,0.740064,0.865260,0.771506,0.827392,34.27
21,1.86669528e-04,0.715940,0.867434,0.749956,0.830935,35.89
22,1.85337696e-04,0.681503,0.872976,0.737395,0.837710,34.07
23,1.83947722e-04,0.702076,0.881615,0.764257,0.833050,35.00
24,1.82500556e-04,0.697647,0.878960,0.747485,0.832660,33.95
25,1.80997191e-04,0.719883,0.865846,0.762064,0.830828,37.58
26,1.79438657e-04,0.703662,0.872053,0.679354,0.863086,37.75
27,1.77826023e-04,0.667895,0.877736,0.765425,0.822308,31.88
28,1.76160394e-04,0.645829,0.886412,0.718614,0.833695,34.66
29,1.74442910e-04,0.713116,0.870203,0.722596,0.838047,38.42
30,1.72674750e-04,0.607789,0.894442,0.747056,0.832778,34.72
