epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,1.00000000e-04,1.536318,0.622098,1.412635,0.649059,16.11
2,9.99904584e-05,0.806583,0.801018,0.953592,0.794285,17.86
3,9.99618373e-05,0.698534,0.846469,0.941206,0.812535,12.62
4,9.99141477e-05,0.606076,0.869209,0.958075,0.853100,15.09
5,9.98474080e-05,0.552920,0.881571,0.730149,0.875675,20.00
6,9.97616440e-05,0.544549,0.879891,1.097241,0.824910,12.55
7,9.96568886e-05,0.528318,0.894359,0.760345,0.886661,14.08
8,9.95331824e-05,0.464470,0.908480,0.712735,0.879786,14.03
9,9.93905729e-05,0.460955,0.914229,0.730758,0.893225,16.05
10,9.92291151e-05,0.421628,0.927302,0.702584,0.896690,16.89
11,9.90488714e-05,0.402891,0.932302,0.847781,0.883019,13.39
12,9.88499111e-05,0.419739,0.927961,0.691129,0.903664,14.61
13,9.86323111e-05,0.385123,0.933066,0.697693,0.893707,14.18
14,9.83961551e-05,0.374872,0.941238,0.666339,0.888454,15.19
15,9.81415342e-05,0.368944,0.937737,0.834875,0.889499,13.93
16,9.78685466e-05,0.367600,0.938706,0.720703,0.901222,14.72
17,9.75772976e-05,0.332805,0.950429,0.846053,0.886750,16.09
18,9.72678993e-05,0.339366,0.946582,0.818053,0.896975,14.15
19,9.69404711e-05,0.334073,0.948880,0.855733,0.888563,14.67
20,9.65951393e-05,0.341612,0.946905,0.712690,0.901982,13.77
21,9.62320369e-05,0.327011,0.950281,0.692109,0.901808,16.51
22,9.58513039e-05,0.337855,0.947257,0.795557,0.881518,13.75
23,9.54530871e-05,0.314942,0.954072,0.759090,0.903730,16.52
24,9.50375401e-05,0.301417,0.957993,0.866479,0.892766,14.45
25,9.46048229e-05,0.333769,0.949067,0.809797,0.888818,17.34
26,9.41551026e-05,0.301190,0.957602,0.731422,0.903858,14.73
27,9.36885524e-05,0.293908,0.958783,0.883568,0.895757,13.09
28,9.32053521e-05,0.310137,0.953962,0.809694,0.891464,17.01
29,9.27056881e-05,0.286426,0.961088,0.748999,0.899804,14.31
30,9.21897531e-05,0.307624,0.959777,0.908174,0.888668,17.20
31,9.16577458e-05,0.287355,0.960686,0.870184,0.890640,13.17
32,9.11098715e-05,0.281264,0.960771,0.755822,0.895389,15.75
33,9.05463412e-05,0.281128,0.962279,0.728748,0.901570,14.07
34,8.99673724e-05,0.270076,0.964556,1.053288,0.878916,14.82
35,8.93731881e-05,0.295347,0.957768,0.884746,0.893520,14.73
36,8.87640174e-05,0.283398,0.960258,0.856152,0.883018,17.23
37,8.81400953e-05,0.274132,0.962200,0.952120,0.886180,15.46
38,8.75016622e-05,0.266843,0.964775,0.789488,0.898709,15.52
39,8.68489642e-05,0.263633,0.965763,0.942209,0.889436,13.53
40,8.61822530e-05,0.272765,0.961658,0.911212,0.887754,12.41
41,8.55017857e-05,0.282350,0.960900,0.890978,0.892640,16.93
42,8.48078244e-05,0.273541,0.963581,0.832224,0.894583,14.54
43,8.41006369e-05,0.257129,0.966009,0.939031,0.889278,13.74
44,8.33804957e-05,0.271019,0.962897,0.866574,0.885586,14.46
45,8.26476784e-05,0.261547,0.965954,0.929560,0.889950,15.54
46,8.19024676e-05,0.257294,0.966180,0.824798,0.897330,13.80
47,8.11451505e-05,0.257846,0.965815,0.788723,0.881009,13.15
48,8.03760191e-05,0.240473,0.969468,0.969674,0.887280,13.79
49,7.95953700e-05,0.255912,0.966435,0.815857,0.891877,16.82
50,7.88035040e-05,0.246074,0.967867,0.985604,0.883069,13.45
51,7.80007265e-05,0.255018,0.965559,0.863553,0.887360,13.67
52,7.71873470e-05,0.245038,0.967964,0.934509,0.883603,16.85
53,7.63636790e-05,0.248652,0.967955,0.839557,0.899512,13.15
54,7.55300400e-05,0.244613,0.968628,0.783155,0.888499,16.76
55,7.46867515e-05,0.239241,0.969630,0.923018,0.889820,14.89
56,7.38341385e-05,0.242351,0.969285,0.868752,0.892708,13.29
57,7.29725297e-05,0.241557,0.969276,0.933046,0.889094,14.04
58,7.21022574e-05,0.236606,0.970512,0.860419,0.899036,15.99
59,7.12236570e-05,0.239852,0.967763,0.854839,0.891400,14.64
60,7.03370672e-05,0.242966,0.968433,0.960444,0.884368,14.88
61,6.94428299e-05,0.222259,0.972974,1.016074,0.885380,15.38
62,6.85412897e-05,0.224277,0.972180,0.955258,0.891311,12.81
63,6.76327943e-05,0.221714,0.973045,0.951119,0.885674,18.69
64,6.67176939e-05,0.222556,0.972490,1.031877,0.887208,16.06
