epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,1.00000000e-04,1.465513,0.639364,1.009773,0.730929,17.18
2,9.99904584e-05,0.870909,0.795600,0.596900,0.863349,13.82
3,9.99618373e-05,0.735838,0.833456,0.520812,0.881203,17.56
4,9.99141477e-05,0.663518,0.857546,0.472403,0.906168,15.25
5,9.98474080e-05,0.597910,0.878544,0.520264,0.874486,19.43
6,9.97616440e-05,0.593475,0.886172,0.508493,0.886637,15.21
7,9.96568886e-05,0.516069,0.904405,0.464848,0.908967,16.30
8,9.95331824e-05,0.489920,0.915130,0.464846,0.905086,14.08
9,9.93905729e-05,0.466550,0.922466,0.438872,0.917395,14.77
10,9.92291151e-05,0.412088,0.934347,0.435541,0.916713,16.96
11,9.90488714e-05,0.434930,0.921801,0.487323,0.902427,17.09
12,9.88499111e-05,0.400344,0.931882,0.446892,0.914663,19.78
13,9.86323111e-05,0.369236,0.940889,0.446883,0.911391,18.65
14,9.83961551e-05,0.359382,0.947490,0.467522,0.908641,13.83
15,9.81415342e-05,0.367267,0.944791,0.526905,0.869394,17.36
16,9.78685466e-05,0.378372,0.939488,0.444437,0.913699,18.39
17,9.75772976e-05,0.346597,0.947006,0.443764,0.919492,17.73
18,9.72678993e-05,0.359930,0.946165,0.430208,0.917409,14.84
19,9.69404711e-05,0.345392,0.949288,0.451703,0.911912,16.67
20,9.65951393e-05,0.366418,0.941556,0.475303,0.906522,16.29
21,9.62320369e-05,0.332280,0.949754,0.468955,0.914209,15.45
22,9.58513039e-05,0.354540,0.946144,0.436768,0.922709,15.72
23,9.54530871e-05,0.317650,0.956387,0.466639,0.888266,14.34
24,9.50375401e-05,0.327086,0.953880,0.469546,0.892345,16.44
25,9.46048229e-05,0.327958,0.951800,0.440998,0.913228,15.33
26,9.41551026e-05,0.313423,0.954779,0.433788,0.922399,14.63
27,9.36885524e-05,0.295020,0.959396,0.438638,0.919768,15.54
28,9.32053521e-05,0.291037,0.959542,0.447839,0.919632,15.25
29,9.27056881e-05,0.299066,0.958604,0.450826,0.914156,15.54
30,9.21897531e-05,0.300911,0.958639,0.445378,0.920949,17.02
31,9.16577458e-05,0.279726,0.963589,0.470669,0.887756,15.41
32,9.11098715e-05,0.289496,0.962505,0.440396,0.921148,16.91
33,9.05463412e-05,0.306284,0.956865,0.477152,0.888716,15.86
34,8.99673724e-05,0.280923,0.962727,0.423439,0.929694,17.85
35,8.93731881e-05,0.273083,0.965690,0.454486,0.917954,15.00
36,8.87640174e-05,0.277755,0.963668,0.455499,0.917010,12.51
37,8.81400953e-05,0.270694,0.964212,0.448012,0.920266,15.15
38,8.75016622e-05,0.281057,0.963431,0.468838,0.921031,14.50
39,8.68489642e-05,0.274836,0.964400,0.421965,0.928197,16.57
40,8.61822530e-05,0.262396,0.966189,0.440106,0.924188,15.34
41,8.55017857e-05,0.269996,0.965099,0.455225,0.919636,16.34
42,8.48078244e-05,0.273975,0.964161,0.471764,0.916714,16.97
43,8.41006369e-05,0.282590,0.962430,0.450165,0.920884,17.03
44,8.33804957e-05,0.264798,0.966155,0.430790,0.927041,15.33
45,8.26476784e-05,0.248679,0.969887,0.503421,0.889926,15.89
46,8.19024676e-05,0.269013,0.964824,0.475733,0.908707,15.03
47,8.11451505e-05,0.267639,0.965297,0.466370,0.914819,15.00
48,8.03760191e-05,0.251105,0.968879,0.482121,0.912474,21.56
49,7.95953700e-05,0.252297,0.968481,0.479144,0.908161,25.34
50,7.88035040e-05,0.238377,0.971822,0.478394,0.904522,17.07
51,7.80007265e-05,0.252692,0.968842,0.468945,0.914221,16.80
52,7.71873470e-05,0.253716,0.967048,0.484664,0.909604,16.11
53,7.63636790e-05,0.252265,0.968194,0.464007,0.917597,16.57
54,7.55300400e-05,0.238839,0.971191,0.495071,0.886264,17.64
55,7.46867515e-05,0.244687,0.970238,0.486647,0.897330,15.40
56,7.38341385e-05,0.233179,0.972100,0.477707,0.916251,20.31
57,7.29725297e-05,0.259358,0.967451,0.470912,0.919639,16.43
58,7.21022574e-05,0.262598,0.966156,0.491058,0.912835,22.57
59,7.12236570e-05,0.235985,0.971990,0.475226,0.916302,24.63
60,7.03370672e-05,0.243377,0.968878,0.475788,0.917877,16.47
61,6.94428299e-05,0.225400,0.973365,0.464965,0.922199,18.20
62,6.85412897e-05,0.232859,0.971739,0.467182,0.919372,16.80
63,6.76327943e-05,0.230703,0.972074,0.470080,0.919595,18.22
64,6.67176939e-05,0.225506,0.972957,0.489929,0.914949,12.64
65,6.57963412e-05,0.227536,0.972800,0.449934,0.925147,18.62
66,6.48690915e-05,0.222893,0.973562,0.476587,0.917784,14.98
67,6.39363023e-05,0.222295,0.973054,0.483846,0.917822,15.11
68,6.29983331e-05,0.223364,0.972935,0.471388,0.920477,15.08
69,6.20555455e-05,0.220571,0.973608,0.475311,0.919865,20.27
70,6.11083031e-05,0.216324,0.974505,0.488451,0.911394,19.01
71,6.01569709e-05,0.215847,0.975154,0.483879,0.916763,19.61
72,5.92019159e-05,0.231168,0.971811,0.498862,0.912441,14.87
73,5.82435060e-05,0.219041,0.973843,0.472063,0.915395,21.39
74,5.72821109e-05,0.221850,0.974042,0.462103,0.919651,19.65
75,5.63181012e-05,0.218878,0.973928,0.495782,0.915046,21.64
76,5.53518484e-05,0.219449,0.973929,0.472930,0.917656,15.01
77,5.43837252e-05,0.208265,0.975610,0.474131,0.916288,21.13
78,5.34141048e-05,0.210120,0.975646,0.473986,0.918428,14.66
